ID;NAME;WHERE;ADDING1;ADDING2;ADDING3;ADDING4;ADDING5;ADDING6;ADDING7;ADDING8;ADDING9
56;beef;bread;cheese;garlic sauce;herb sauce;;;;;;
57;beef;bread;cheese;garlic sauce;tomatoes;;;;;;
58;beef;bread;cheese;garlic sauce;fried eggplant;;;;;;
59;beef;bread;cheese;garlic sauce;fried zuccihini;;;;;;
60;beef;bread;cheese;garlic sauce;fried potatoes;;;;;;
61;beef;bread;cheese;garlic sauce;hot sauce;;;;;;
62;beef;bread;cheese;garlic sauce;chili powder;;;;;;
63;beef;bread;cheese;garlic sauce;onions;;;;;;
64;beef;bread;cheese;herb sauce;tomatoes;;;;;;
65;beef;bread;cheese;herb sauce;fried eggplant;;;;;;
66;beef;bread;cheese;herb sauce;fried zuccihini;;;;;;
67;beef;bread;cheese;herb sauce;fried potatoes;;;;;;
68;beef;bread;cheese;herb sauce;hot sauce;;;;;;
69;beef;bread;cheese;herb sauce;chili powder;;;;;;
70;beef;bread;cheese;herb sauce;onions;;;;;;
71;beef;bread;cheese;tomatoes;fried eggplant;;;;;;
72;beef;bread;cheese;tomatoes;fried zuccihini;;;;;;
73;beef;bread;cheese;tomatoes;fried potatoes;;;;;;
74;beef;bread;cheese;tomatoes;hot sauce;;;;;;
75;beef;bread;cheese;tomatoes;chili powder;;;;;;
76;beef;bread;cheese;tomatoes;onions;;;;;;
77;beef;bread;cheese;fried eggplant;fried zuccihini;;;;;;
78;beef;bread;cheese;fried eggplant;fried potatoes;;;;;;
79;beef;bread;cheese;fried eggplant;hot sauce;;;;;;
80;beef;bread;cheese;fried eggplant;chili powder;;;;;;
81;beef;bread;cheese;fried eggplant;onions;;;;;;
82;beef;bread;cheese;fried zuccihini;fried potatoes;;;;;;
83;beef;bread;cheese;fried zuccihini;hot sauce;;;;;;
84;beef;bread;cheese;fried zuccihini;chili powder;;;;;;
85;beef;bread;cheese;fried zuccihini;onions;;;;;;
86;beef;bread;cheese;fried potatoes;hot sauce;;;;;;
87;beef;bread;cheese;fried potatoes;chili powder;;;;;;
88;beef;bread;cheese;fried potatoes;onions;;;;;;
89;beef;bread;cheese;hot sauce;chili powder;;;;;;
90;beef;bread;cheese;hot sauce;onions;;;;;;
91;beef;bread;cheese;chili powder;onions;;;;;;
92;beef;bread;garlic sauce;herb sauce;tomatoes;;;;;;
93;beef;bread;garlic sauce;herb sauce;fried eggplant;;;;;;
94;beef;bread;garlic sauce;herb sauce;fried zuccihini;;;;;;
95;beef;bread;garlic sauce;herb sauce;fried potatoes;;;;;;
96;beef;bread;garlic sauce;herb sauce;hot sauce;;;;;;
97;beef;bread;garlic sauce;herb sauce;chili powder;;;;;;
98;beef;bread;garlic sauce;herb sauce;onions;;;;;;
99;beef;bread;garlic sauce;tomatoes;fried eggplant;;;;;;
100;beef;bread;garlic sauce;tomatoes;fried zuccihini;;;;;;
101;beef;bread;garlic sauce;tomatoes;fried potatoes;;;;;;
102;beef;bread;garlic sauce;tomatoes;hot sauce;;;;;;
103;beef;bread;garlic sauce;tomatoes;chili powder;;;;;;
104;beef;bread;garlic sauce;tomatoes;onions;;;;;;
105;beef;bread;garlic sauce;fried eggplant;fried zuccihini;;;;;;
106;beef;bread;garlic sauce;fried eggplant;fried potatoes;;;;;;
107;beef;bread;garlic sauce;fried eggplant;hot sauce;;;;;;
108;beef;bread;garlic sauce;fried eggplant;chili powder;;;;;;
109;beef;bread;garlic sauce;fried eggplant;onions;;;;;;
110;beef;bread;garlic sauce;fried zuccihini;fried potatoes;;;;;;
111;beef;bread;garlic sauce;fried zuccihini;hot sauce;;;;;;
112;beef;bread;garlic sauce;fried zuccihini;chili powder;;;;;;
113;beef;bread;garlic sauce;fried zuccihini;onions;;;;;;
114;beef;bread;garlic sauce;fried potatoes;hot sauce;;;;;;
115;beef;bread;garlic sauce;fried potatoes;chili powder;;;;;;
116;beef;bread;garlic sauce;fried potatoes;onions;;;;;;
117;beef;bread;garlic sauce;hot sauce;chili powder;;;;;;
118;beef;bread;garlic sauce;hot sauce;onions;;;;;;
119;beef;bread;garlic sauce;chili powder;onions;;;;;;
120;beef;bread;herb sauce;tomatoes;fried eggplant;;;;;;
121;beef;bread;herb sauce;tomatoes;fried zuccihini;;;;;;
122;beef;bread;herb sauce;tomatoes;fried potatoes;;;;;;
123;beef;bread;herb sauce;tomatoes;hot sauce;;;;;;
124;beef;bread;herb sauce;tomatoes;chili powder;;;;;;
125;beef;bread;herb sauce;tomatoes;onions;;;;;;
126;beef;bread;herb sauce;fried eggplant;fried zuccihini;;;;;;
127;beef;bread;herb sauce;fried eggplant;fried potatoes;;;;;;
128;beef;bread;herb sauce;fried eggplant;hot sauce;;;;;;
129;beef;bread;herb sauce;fried eggplant;chili powder;;;;;;
130;beef;bread;herb sauce;fried eggplant;onions;;;;;;
131;beef;bread;herb sauce;fried zuccihini;fried potatoes;;;;;;
132;beef;bread;herb sauce;fried zuccihini;hot sauce;;;;;;
133;beef;bread;herb sauce;fried zuccihini;chili powder;;;;;;
134;beef;bread;herb sauce;fried zuccihini;onions;;;;;;
135;beef;bread;herb sauce;fried potatoes;hot sauce;;;;;;
136;beef;bread;herb sauce;fried potatoes;chili powder;;;;;;
137;beef;bread;herb sauce;fried potatoes;onions;;;;;;
138;beef;bread;herb sauce;hot sauce;chili powder;;;;;;
139;beef;bread;herb sauce;hot sauce;onions;;;;;;
140;beef;bread;herb sauce;chili powder;onions;;;;;;
141;beef;bread;tomatoes;fried eggplant;fried zuccihini;;;;;;
142;beef;bread;tomatoes;fried eggplant;fried potatoes;;;;;;
143;beef;bread;tomatoes;fried eggplant;hot sauce;;;;;;
144;beef;bread;tomatoes;fried eggplant;chili powder;;;;;;
145;beef;bread;tomatoes;fried eggplant;onions;;;;;;
146;beef;bread;tomatoes;fried zuccihini;fried potatoes;;;;;;
147;beef;bread;tomatoes;fried zuccihini;hot sauce;;;;;;
148;beef;bread;tomatoes;fried zuccihini;chili powder;;;;;;
149;beef;bread;tomatoes;fried zuccihini;onions;;;;;;
150;beef;bread;tomatoes;fried potatoes;hot sauce;;;;;;
151;beef;bread;tomatoes;fried potatoes;chili powder;;;;;;
152;beef;bread;tomatoes;fried potatoes;onions;;;;;;
153;beef;bread;tomatoes;hot sauce;chili powder;;;;;;
154;beef;bread;tomatoes;hot sauce;onions;;;;;;
155;beef;bread;tomatoes;chili powder;onions;;;;;;
156;beef;bread;fried eggplant;fried zuccihini;fried potatoes;;;;;;
157;beef;bread;fried eggplant;fried zuccihini;hot sauce;;;;;;
158;beef;bread;fried eggplant;fried zuccihini;chili powder;;;;;;
159;beef;bread;fried eggplant;fried zuccihini;onions;;;;;;
160;beef;bread;fried eggplant;fried potatoes;hot sauce;;;;;;
161;beef;bread;fried eggplant;fried potatoes;chili powder;;;;;;
162;beef;bread;fried eggplant;fried potatoes;onions;;;;;;
163;beef;bread;fried eggplant;hot sauce;chili powder;;;;;;
164;beef;bread;fried eggplant;hot sauce;onions;;;;;;
165;beef;bread;fried eggplant;chili powder;onions;;;;;;
166;beef;bread;fried zuccihini;fried potatoes;hot sauce;;;;;;
167;beef;bread;fried zuccihini;fried potatoes;chili powder;;;;;;
168;beef;bread;fried zuccihini;fried potatoes;onions;;;;;;
169;beef;bread;fried zuccihini;hot sauce;chili powder;;;;;;
170;beef;bread;fried zuccihini;hot sauce;onions;;;;;;
171;beef;bread;fried zuccihini;chili powder;onions;;;;;;
172;beef;bread;fried potatoes;hot sauce;chili powder;;;;;;
173;beef;bread;fried potatoes;hot sauce;onions;;;;;;
174;beef;bread;fried potatoes;chili powder;onions;;;;;;
175;beef;bread;hot sauce;chili powder;onions;;;;;;
176;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;;;;;
177;beef;bread;cheese;garlic sauce;herb sauce;fried eggplant;;;;;
178;beef;bread;cheese;garlic sauce;herb sauce;fried zuccihini;;;;;
179;beef;bread;cheese;garlic sauce;herb sauce;fried potatoes;;;;;
180;beef;bread;cheese;garlic sauce;herb sauce;hot sauce;;;;;
181;beef;bread;cheese;garlic sauce;herb sauce;chili powder;;;;;
182;beef;bread;cheese;garlic sauce;herb sauce;onions;;;;;
183;beef;bread;cheese;garlic sauce;tomatoes;fried eggplant;;;;;
184;beef;bread;cheese;garlic sauce;tomatoes;fried zuccihini;;;;;
185;beef;bread;cheese;garlic sauce;tomatoes;fried potatoes;;;;;
186;beef;bread;cheese;garlic sauce;tomatoes;hot sauce;;;;;
187;beef;bread;cheese;garlic sauce;tomatoes;chili powder;;;;;
188;beef;bread;cheese;garlic sauce;tomatoes;onions;;;;;
189;beef;bread;cheese;garlic sauce;fried eggplant;fried zuccihini;;;;;
190;beef;bread;cheese;garlic sauce;fried eggplant;fried potatoes;;;;;
191;beef;bread;cheese;garlic sauce;fried eggplant;hot sauce;;;;;
192;beef;bread;cheese;garlic sauce;fried eggplant;chili powder;;;;;
193;beef;bread;cheese;garlic sauce;fried eggplant;onions;;;;;
194;beef;bread;cheese;garlic sauce;fried zuccihini;fried potatoes;;;;;
195;beef;bread;cheese;garlic sauce;fried zuccihini;hot sauce;;;;;
196;beef;bread;cheese;garlic sauce;fried zuccihini;chili powder;;;;;
197;beef;bread;cheese;garlic sauce;fried zuccihini;onions;;;;;
198;beef;bread;cheese;garlic sauce;fried potatoes;hot sauce;;;;;
199;beef;bread;cheese;garlic sauce;fried potatoes;chili powder;;;;;
200;beef;bread;cheese;garlic sauce;fried potatoes;onions;;;;;
201;beef;bread;cheese;garlic sauce;hot sauce;chili powder;;;;;
202;beef;bread;cheese;garlic sauce;hot sauce;onions;;;;;
203;beef;bread;cheese;garlic sauce;chili powder;onions;;;;;
204;beef;bread;cheese;herb sauce;tomatoes;fried eggplant;;;;;
205;beef;bread;cheese;herb sauce;tomatoes;fried zuccihini;;;;;
206;beef;bread;cheese;herb sauce;tomatoes;fried potatoes;;;;;
207;beef;bread;cheese;herb sauce;tomatoes;hot sauce;;;;;
208;beef;bread;cheese;herb sauce;tomatoes;chili powder;;;;;
209;beef;bread;cheese;herb sauce;tomatoes;onions;;;;;
210;beef;bread;cheese;herb sauce;fried eggplant;fried zuccihini;;;;;
211;beef;bread;cheese;herb sauce;fried eggplant;fried potatoes;;;;;
212;beef;bread;cheese;herb sauce;fried eggplant;hot sauce;;;;;
213;beef;bread;cheese;herb sauce;fried eggplant;chili powder;;;;;
214;beef;bread;cheese;herb sauce;fried eggplant;onions;;;;;
215;beef;bread;cheese;herb sauce;fried zuccihini;fried potatoes;;;;;
216;beef;bread;cheese;herb sauce;fried zuccihini;hot sauce;;;;;
217;beef;bread;cheese;herb sauce;fried zuccihini;chili powder;;;;;
218;beef;bread;cheese;herb sauce;fried zuccihini;onions;;;;;
219;beef;bread;cheese;herb sauce;fried potatoes;hot sauce;;;;;
220;beef;bread;cheese;herb sauce;fried potatoes;chili powder;;;;;
221;beef;bread;cheese;herb sauce;fried potatoes;onions;;;;;
222;beef;bread;cheese;herb sauce;hot sauce;chili powder;;;;;
223;beef;bread;cheese;herb sauce;hot sauce;onions;;;;;
224;beef;bread;cheese;herb sauce;chili powder;onions;;;;;
225;beef;bread;cheese;tomatoes;fried eggplant;fried zuccihini;;;;;
226;beef;bread;cheese;tomatoes;fried eggplant;fried potatoes;;;;;
227;beef;bread;cheese;tomatoes;fried eggplant;hot sauce;;;;;
228;beef;bread;cheese;tomatoes;fried eggplant;chili powder;;;;;
229;beef;bread;cheese;tomatoes;fried eggplant;onions;;;;;
230;beef;bread;cheese;tomatoes;fried zuccihini;fried potatoes;;;;;
231;beef;bread;cheese;tomatoes;fried zuccihini;hot sauce;;;;;
232;beef;bread;cheese;tomatoes;fried zuccihini;chili powder;;;;;
233;beef;bread;cheese;tomatoes;fried zuccihini;onions;;;;;
234;beef;bread;cheese;tomatoes;fried potatoes;hot sauce;;;;;
235;beef;bread;cheese;tomatoes;fried potatoes;chili powder;;;;;
236;beef;bread;cheese;tomatoes;fried potatoes;onions;;;;;
237;beef;bread;cheese;tomatoes;hot sauce;chili powder;;;;;
238;beef;bread;cheese;tomatoes;hot sauce;onions;;;;;
239;beef;bread;cheese;tomatoes;chili powder;onions;;;;;
240;beef;bread;cheese;fried eggplant;fried zuccihini;fried potatoes;;;;;
241;beef;bread;cheese;fried eggplant;fried zuccihini;hot sauce;;;;;
242;beef;bread;cheese;fried eggplant;fried zuccihini;chili powder;;;;;
243;beef;bread;cheese;fried eggplant;fried zuccihini;onions;;;;;
244;beef;bread;cheese;fried eggplant;fried potatoes;hot sauce;;;;;
245;beef;bread;cheese;fried eggplant;fried potatoes;chili powder;;;;;
246;beef;bread;cheese;fried eggplant;fried potatoes;onions;;;;;
247;beef;bread;cheese;fried eggplant;hot sauce;chili powder;;;;;
248;beef;bread;cheese;fried eggplant;hot sauce;onions;;;;;
249;beef;bread;cheese;fried eggplant;chili powder;onions;;;;;
250;beef;bread;cheese;fried zuccihini;fried potatoes;hot sauce;;;;;
251;beef;bread;cheese;fried zuccihini;fried potatoes;chili powder;;;;;
252;beef;bread;cheese;fried zuccihini;fried potatoes;onions;;;;;
253;beef;bread;cheese;fried zuccihini;hot sauce;chili powder;;;;;
254;beef;bread;cheese;fried zuccihini;hot sauce;onions;;;;;
255;beef;bread;cheese;fried zuccihini;chili powder;onions;;;;;
256;beef;bread;cheese;fried potatoes;hot sauce;chili powder;;;;;
257;beef;bread;cheese;fried potatoes;hot sauce;onions;;;;;
258;beef;bread;cheese;fried potatoes;chili powder;onions;;;;;
259;beef;bread;cheese;hot sauce;chili powder;onions;;;;;
260;beef;bread;garlic sauce;herb sauce;tomatoes;fried eggplant;;;;;
261;beef;bread;garlic sauce;herb sauce;tomatoes;fried zuccihini;;;;;
262;beef;bread;garlic sauce;herb sauce;tomatoes;fried potatoes;;;;;
263;beef;bread;garlic sauce;herb sauce;tomatoes;hot sauce;;;;;
264;beef;bread;garlic sauce;herb sauce;tomatoes;chili powder;;;;;
265;beef;bread;garlic sauce;herb sauce;tomatoes;onions;;;;;
266;beef;bread;garlic sauce;herb sauce;fried eggplant;fried zuccihini;;;;;
267;beef;bread;garlic sauce;herb sauce;fried eggplant;fried potatoes;;;;;
268;beef;bread;garlic sauce;herb sauce;fried eggplant;hot sauce;;;;;
269;beef;bread;garlic sauce;herb sauce;fried eggplant;chili powder;;;;;
270;beef;bread;garlic sauce;herb sauce;fried eggplant;onions;;;;;
271;beef;bread;garlic sauce;herb sauce;fried zuccihini;fried potatoes;;;;;
272;beef;bread;garlic sauce;herb sauce;fried zuccihini;hot sauce;;;;;
273;beef;bread;garlic sauce;herb sauce;fried zuccihini;chili powder;;;;;
274;beef;bread;garlic sauce;herb sauce;fried zuccihini;onions;;;;;
275;beef;bread;garlic sauce;herb sauce;fried potatoes;hot sauce;;;;;
276;beef;bread;garlic sauce;herb sauce;fried potatoes;chili powder;;;;;
277;beef;bread;garlic sauce;herb sauce;fried potatoes;onions;;;;;
278;beef;bread;garlic sauce;herb sauce;hot sauce;chili powder;;;;;
279;beef;bread;garlic sauce;herb sauce;hot sauce;onions;;;;;
280;beef;bread;garlic sauce;herb sauce;chili powder;onions;;;;;
281;beef;bread;garlic sauce;tomatoes;fried eggplant;fried zuccihini;;;;;
282;beef;bread;garlic sauce;tomatoes;fried eggplant;fried potatoes;;;;;
283;beef;bread;garlic sauce;tomatoes;fried eggplant;hot sauce;;;;;
284;beef;bread;garlic sauce;tomatoes;fried eggplant;chili powder;;;;;
285;beef;bread;garlic sauce;tomatoes;fried eggplant;onions;;;;;
286;beef;bread;garlic sauce;tomatoes;fried zuccihini;fried potatoes;;;;;
287;beef;bread;garlic sauce;tomatoes;fried zuccihini;hot sauce;;;;;
288;beef;bread;garlic sauce;tomatoes;fried zuccihini;chili powder;;;;;
289;beef;bread;garlic sauce;tomatoes;fried zuccihini;onions;;;;;
290;beef;bread;garlic sauce;tomatoes;fried potatoes;hot sauce;;;;;
291;beef;bread;garlic sauce;tomatoes;fried potatoes;chili powder;;;;;
292;beef;bread;garlic sauce;tomatoes;fried potatoes;onions;;;;;
293;beef;bread;garlic sauce;tomatoes;hot sauce;chili powder;;;;;
294;beef;bread;garlic sauce;tomatoes;hot sauce;onions;;;;;
295;beef;bread;garlic sauce;tomatoes;chili powder;onions;;;;;
296;beef;bread;garlic sauce;fried eggplant;fried zuccihini;fried potatoes;;;;;
297;beef;bread;garlic sauce;fried eggplant;fried zuccihini;hot sauce;;;;;
298;beef;bread;garlic sauce;fried eggplant;fried zuccihini;chili powder;;;;;
299;beef;bread;garlic sauce;fried eggplant;fried zuccihini;onions;;;;;
300;beef;bread;garlic sauce;fried eggplant;fried potatoes;hot sauce;;;;;
301;beef;bread;garlic sauce;fried eggplant;fried potatoes;chili powder;;;;;
302;beef;bread;garlic sauce;fried eggplant;fried potatoes;onions;;;;;
303;beef;bread;garlic sauce;fried eggplant;hot sauce;chili powder;;;;;
304;beef;bread;garlic sauce;fried eggplant;hot sauce;onions;;;;;
305;beef;bread;garlic sauce;fried eggplant;chili powder;onions;;;;;
306;beef;bread;garlic sauce;fried zuccihini;fried potatoes;hot sauce;;;;;
307;beef;bread;garlic sauce;fried zuccihini;fried potatoes;chili powder;;;;;
308;beef;bread;garlic sauce;fried zuccihini;fried potatoes;onions;;;;;
309;beef;bread;garlic sauce;fried zuccihini;hot sauce;chili powder;;;;;
310;beef;bread;garlic sauce;fried zuccihini;hot sauce;onions;;;;;
311;beef;bread;garlic sauce;fried zuccihini;chili powder;onions;;;;;
312;beef;bread;garlic sauce;fried potatoes;hot sauce;chili powder;;;;;
313;beef;bread;garlic sauce;fried potatoes;hot sauce;onions;;;;;
314;beef;bread;garlic sauce;fried potatoes;chili powder;onions;;;;;
315;beef;bread;garlic sauce;hot sauce;chili powder;onions;;;;;
316;beef;bread;herb sauce;tomatoes;fried eggplant;fried zuccihini;;;;;
317;beef;bread;herb sauce;tomatoes;fried eggplant;fried potatoes;;;;;
318;beef;bread;herb sauce;tomatoes;fried eggplant;hot sauce;;;;;
319;beef;bread;herb sauce;tomatoes;fried eggplant;chili powder;;;;;
320;beef;bread;herb sauce;tomatoes;fried eggplant;onions;;;;;
321;beef;bread;herb sauce;tomatoes;fried zuccihini;fried potatoes;;;;;
322;beef;bread;herb sauce;tomatoes;fried zuccihini;hot sauce;;;;;
323;beef;bread;herb sauce;tomatoes;fried zuccihini;chili powder;;;;;
324;beef;bread;herb sauce;tomatoes;fried zuccihini;onions;;;;;
325;beef;bread;herb sauce;tomatoes;fried potatoes;hot sauce;;;;;
326;beef;bread;herb sauce;tomatoes;fried potatoes;chili powder;;;;;
327;beef;bread;herb sauce;tomatoes;fried potatoes;onions;;;;;
328;beef;bread;herb sauce;tomatoes;hot sauce;chili powder;;;;;
329;beef;bread;herb sauce;tomatoes;hot sauce;onions;;;;;
330;beef;bread;herb sauce;tomatoes;chili powder;onions;;;;;
331;beef;bread;herb sauce;fried eggplant;fried zuccihini;fried potatoes;;;;;
332;beef;bread;herb sauce;fried eggplant;fried zuccihini;hot sauce;;;;;
333;beef;bread;herb sauce;fried eggplant;fried zuccihini;chili powder;;;;;
334;beef;bread;herb sauce;fried eggplant;fried zuccihini;onions;;;;;
335;beef;bread;herb sauce;fried eggplant;fried potatoes;hot sauce;;;;;
336;beef;bread;herb sauce;fried eggplant;fried potatoes;chili powder;;;;;
337;beef;bread;herb sauce;fried eggplant;fried potatoes;onions;;;;;
338;beef;bread;herb sauce;fried eggplant;hot sauce;chili powder;;;;;
339;beef;bread;herb sauce;fried eggplant;hot sauce;onions;;;;;
340;beef;bread;herb sauce;fried eggplant;chili powder;onions;;;;;
341;beef;bread;herb sauce;fried zuccihini;fried potatoes;hot sauce;;;;;
342;beef;bread;herb sauce;fried zuccihini;fried potatoes;chili powder;;;;;
343;beef;bread;herb sauce;fried zuccihini;fried potatoes;onions;;;;;
344;beef;bread;herb sauce;fried zuccihini;hot sauce;chili powder;;;;;
345;beef;bread;herb sauce;fried zuccihini;hot sauce;onions;;;;;
346;beef;bread;herb sauce;fried zuccihini;chili powder;onions;;;;;
347;beef;bread;herb sauce;fried potatoes;hot sauce;chili powder;;;;;
348;beef;bread;herb sauce;fried potatoes;hot sauce;onions;;;;;
349;beef;bread;herb sauce;fried potatoes;chili powder;onions;;;;;
350;beef;bread;herb sauce;hot sauce;chili powder;onions;;;;;
351;beef;bread;tomatoes;fried eggplant;fried zuccihini;fried potatoes;;;;;
352;beef;bread;tomatoes;fried eggplant;fried zuccihini;hot sauce;;;;;
353;beef;bread;tomatoes;fried eggplant;fried zuccihini;chili powder;;;;;
354;beef;bread;tomatoes;fried eggplant;fried zuccihini;onions;;;;;
355;beef;bread;tomatoes;fried eggplant;fried potatoes;hot sauce;;;;;
356;beef;bread;tomatoes;fried eggplant;fried potatoes;chili powder;;;;;
357;beef;bread;tomatoes;fried eggplant;fried potatoes;onions;;;;;
358;beef;bread;tomatoes;fried eggplant;hot sauce;chili powder;;;;;
359;beef;bread;tomatoes;fried eggplant;hot sauce;onions;;;;;
360;beef;bread;tomatoes;fried eggplant;chili powder;onions;;;;;
361;beef;bread;tomatoes;fried zuccihini;fried potatoes;hot sauce;;;;;
362;beef;bread;tomatoes;fried zuccihini;fried potatoes;chili powder;;;;;
363;beef;bread;tomatoes;fried zuccihini;fried potatoes;onions;;;;;
364;beef;bread;tomatoes;fried zuccihini;hot sauce;chili powder;;;;;
365;beef;bread;tomatoes;fried zuccihini;hot sauce;onions;;;;;
366;beef;bread;tomatoes;fried zuccihini;chili powder;onions;;;;;
367;beef;bread;tomatoes;fried potatoes;hot sauce;chili powder;;;;;
368;beef;bread;tomatoes;fried potatoes;hot sauce;onions;;;;;
369;beef;bread;tomatoes;fried potatoes;chili powder;onions;;;;;
370;beef;bread;tomatoes;hot sauce;chili powder;onions;;;;;
371;beef;bread;fried eggplant;fried zuccihini;fried potatoes;hot sauce;;;;;
372;beef;bread;fried eggplant;fried zuccihini;fried potatoes;chili powder;;;;;
373;beef;bread;fried eggplant;fried zuccihini;fried potatoes;onions;;;;;
374;beef;bread;fried eggplant;fried zuccihini;hot sauce;chili powder;;;;;
375;beef;bread;fried eggplant;fried zuccihini;hot sauce;onions;;;;;
376;beef;bread;fried eggplant;fried zuccihini;chili powder;onions;;;;;
377;beef;bread;fried eggplant;fried potatoes;hot sauce;chili powder;;;;;
378;beef;bread;fried eggplant;fried potatoes;hot sauce;onions;;;;;
379;beef;bread;fried eggplant;fried potatoes;chili powder;onions;;;;;
380;beef;bread;fried eggplant;hot sauce;chili powder;onions;;;;;
381;beef;bread;fried zuccihini;fried potatoes;hot sauce;chili powder;;;;;
382;beef;bread;fried zuccihini;fried potatoes;hot sauce;onions;;;;;
383;beef;bread;fried zuccihini;fried potatoes;chili powder;onions;;;;;
384;beef;bread;fried zuccihini;hot sauce;chili powder;onions;;;;;
385;beef;bread;fried potatoes;hot sauce;chili powder;onions;;;;;
386;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;fried eggplant;;;;
387;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;fried zuccihini;;;;
388;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;fried potatoes;;;;
389;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;hot sauce;;;;
390;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;chili powder;;;;
391;beef;bread;cheese;garlic sauce;herb sauce;tomatoes;onions;;;;
392;beef;bread;cheese;garlic sauce;herb sauce;fried eggplant;fried zuccihini;;;;
393;beef;bread;cheese;garlic sauce;herb sauce;fried eggplant;fried potatoes;;;;
394;beef;bread;cheese;garlic sauce;herb sauce;fried eggplant;hot sauce;;;;
395;beef;bread;cheese;garlic sauce;herb sauce;fried eggplant;chili powder;;;;
396;beef;bread;cheese;garlic sauce;herb sauce;fried eggplant;onions;;;;
397;beef;bread;cheese;garlic sauce;herb sauce;fried zuccihini;fried potatoes;;;;
398;beef;bread;cheese;garlic sauce;herb sauce;fried zuccihini;hot sauce;;;;
399;beef;bread;cheese;garlic sauce;herb sauce;fried zuccihini;chili powder;;;;
400;beef;bread;cheese;garlic sauce;herb sauce;fried zuccihini;onions;;;;
401;beef;bread;cheese;garlic sauce;herb sauce;fried potatoes;hot sauce;;;;
402;beef;bread;cheese;garlic sauce;herb sauce;fried potatoes;chili powder;;;;
403;beef;bread;cheese;garlic sauce;herb sauce;fried potatoes;onions;;;;
404;beef;bread;cheese;garlic sauce;herb sauce;hot sauce;chili powder;;;;
405;beef;bread;cheese;garlic sauce;herb sauce;hot sauce;onions;;;;
406;beef;bread;cheese;garlic sauce;herb sauce;chili powder;onions;;;;
407;beef;bread;cheese;garlic sauce;tomatoes;fried eggplant;fried zuccihini;;;;
